"id","ID Externe","Area_id /ID Externe","department_code","insee_code","zip_code","name","gps_lat","gps_lng","country_id"
93,"__cities_.fr.01098-01510-00093","__areas__.fr.001-001",1,1098,1510,"Chazey-Bons","45.802649","5.681342","base.fr"
94,"__cities_.fr.01099-01150-00094","__areas__.fr.001-001",1,1099,1150,"Chazey-sur-Ain","45.897791764706","5.257502254902","base.fr"
95,"__cities_.fr.01100-01510-00095","__areas__.fr.001-001",1,1100,1510,"Cheignieu-la-Balme","45.821699632353","5.6004818382353","base.fr"
96,"__cities_.fr.01101-01430-00096","__areas__.fr.001-001",1,1101,1430,"Chevillard","46.109148734177","5.579233164557","base.fr"
97,"__cities_.fr.01102-01190-00097","__areas__.fr.001-001",1,1102,1190,"Chevroux","46.382223136095","4.9651795857988","base.fr"
98,"__cities_.fr.01103-01170-00098","__areas__.fr.001-001",1,1103,1170,"Chevry","46.28400972973","6.0452245045045","base.fr"
99,"__cities_.fr.01104-01200-00099","__areas__.fr.001-001",1,1104,1200,"Chézery-Forens","46.1202119","5.7896126","base.fr"
100,"__cities_.fr.01104-01410-00100","__areas__.fr.001-001",1,1104,1410,"Chézery-Forens","46.223054","5.868303","base.fr"
101,"__cities_.fr.01105-01390-00101","__areas__.fr.001-001",1,1105,1390,"Civrieux","45.918154210526","4.8847947368421","base.fr"
102,"__cities_.fr.01106-01250-00102","__areas__.fr.001-001",1,1106,1250,"Cize","46.198540517241","5.4512146551724","base.fr"
103,"__cities_.fr.01107-01230-00103","__areas__.fr.001-001",1,1107,1230,"Cleyzieu","45.902384545455","5.4327284848485","base.fr"
104,"__cities_.fr.01108-01270-00104","__areas__.fr.001-001",1,1108,1270,"Coligny","46.384596901961","5.326589372549","base.fr"
105,"__cities_.fr.01109-01550-00105","__areas__.fr.001-001",1,1109,1550,"Collonges","46.14152784","5.90460952","base.fr"
106,"__cities_.fr.01110-01300-00106","__areas__.fr.001-001",1,1110,1300,"Colomieu","45.738500285714","5.6265590476191","base.fr"
107,"__cities_.fr.01111-01230-00107","__areas__.fr.001-001",1,1111,1230,"Conand","45.890008978102","5.4713902919708","base.fr"
108,"__cities_.fr.01112-01430-00108","__areas__.fr.001-001",1,1112,1430,"Condamine","46.104543084112","5.5582528037383","base.fr"
109,"__cities_.fr.01113-01400-00109","__areas__.fr.001-001",1,1113,1400,"Condeissiat","46.1521226875","5.087552125","base.fr"
110,"__cities_.fr.01114-01200-00110","__areas__.fr.001-001",1,1114,1200,"Confort","46.156618163265","5.8304369387755","base.fr"
111,"__cities_.fr.01115-01310-00111","__areas__.fr.001-001",1,1115,1310,"Confrançon","46.2677990625","5.0631065","base.fr"
112,"__cities_.fr.01116-01300-00112","__areas__.fr.001-001",1,1116,1300,"Contrevoz","45.803002392345","5.6211401435407","base.fr"
113,"__cities_.fr.01117-01300-00113","__areas__.fr.001-001",1,1117,1300,"Conzieu","45.727867105263","5.606319868421","base.fr"
114,"__cities_.fr.01118-01420-00114","__areas__.fr.001-001",1,1118,1420,"Corbonod","45.972412773723","5.7880016058394","base.fr"
115,"__cities_.fr.01121-01110-00115","__areas__.fr.001-001",1,1121,1110,"Corlier","46.032718194444","5.4985325","base.fr"
116,"__cities_.fr.01122-01110-00116","__areas__.fr.001-001",1,1122,1110,"Cormaranche-en-Bugey","45.947902282609","5.61038","base.fr"
117,"__cities_.fr.01123-01290-00117","__areas__.fr.001-001",1,1123,1290,"Cormoranche-sur-Saône","46.23802942623","4.8349332786885","base.fr"
118,"__cities_.fr.01124-01560-00118","__areas__.fr.001-001",1,1124,1560,"Cormoz","46.433602965779","5.2256662357414","base.fr"
119,"__cities_.fr.01125-01250-00119","__areas__.fr.001-001",1,1125,1250,"Corveissiat","46.254723069767","5.4688593953488","base.fr"
120,"__cities_.fr.01127-01370-00120","__areas__.fr.001-001",1,1127,1370,"Courmangoux","46.326120622407","5.3504300414938","base.fr"
121,"__cities_.fr.01128-01560-00121","__areas__.fr.001-001",1,1128,1560,"Courtes","46.457129483871","5.1139603870968","base.fr"
122,"__cities_.fr.01129-01320-00122","__areas__.fr.001-001",1,1129,1320,"Crans","45.965866390244","5.1933110731707","base.fr"
123,"__cities_.fr.01130-01340-00123","__areas__.fr.001-001",1,1130,1340,"Cras-sur-Reyssouze","46.313415243243","5.1783688648649","base.fr"
124,"__cities_.fr.01133-01350-00124","__areas__.fr.001-001",1,1133,1350,"Cressin-Rochefort","45.784325921053","5.7588935526316","base.fr"
125,"__cities_.fr.01134-01290-00125","__areas__.fr.001-001",1,1134,1290,"Crottet","46.277172","4.892867","base.fr"
126,"__cities_.fr.01134-01750-00126","__areas__.fr.001-001",1,1134,1750,"Crottet","46.3070867","4.8676037","base.fr"
127,"__cities_.fr.01135-01170-00127","__areas__.fr.001-001",1,1135,1170,"Crozet","46.290464240506","6.0029505696202","base.fr"
128,"__cities_.fr.01136-01290-00128","__areas__.fr.001-001",1,1136,1290,"Cruzilles-lès-Mépillat","46.221429230769","4.8756563636364","base.fr"
129,"__cities_.fr.01138-01350-00129","__areas__.fr.001-001",1,1138,1350,"Culoz","45.855868235294","5.7754341176471","base.fr"
130,"__cities_.fr.01139-01560-00130","__areas__.fr.001-001",1,1139,1560,"Curciat-Dongalon","46.488223573883","5.1661274570447","base.fr"
131,"__cities_.fr.01140-01310-00131","__areas__.fr.001-001",1,1140,1310,"Curtafond","46.273678142077","5.1037170491803","base.fr"
132,"__cities_.fr.01141-01300-00132","__areas__.fr.001-001",1,1141,1300,"Cuzieu","45.818852688172","5.6798859139785","base.fr"
133,"__cities_.fr.01142-01120-00133","__areas__.fr.001-001",1,1142,1120,"Dagneux","45.85737752809","5.0744668539326","base.fr"
134,"__cities_.fr.01143-01220-00134","__areas__.fr.001-001",1,1143,1220,"Divonne-les-Bains","46.37205265","6.11931745","base.fr"
135,"__cities_.fr.01145-01240-00135","__areas__.fr.001-001",1,1145,1240,"Dompierre-sur-Veyle","46.065636772487","5.2151875661376","base.fr"
136,"__cities_.fr.01146-01400-00136","__areas__.fr.001-001",1,1146,1400,"Dompierre-sur-Chalaronne","46.143917279412","4.9006142647059","base.fr"
137,"__cities_.fr.01147-01270-00137","__areas__.fr.001-001",1,1147,1270,"Domsure","46.424201433121","5.2931132165605","base.fr"
138,"__cities_.fr.01148-01590-00138","__areas__.fr.001-001",1,1148,1590,"Dortan","46.313479781022","5.6452366423358","base.fr"
139,"__cities_.fr.01149-01500-00139","__areas__.fr.001-001",1,1149,1500,"Douvres","45.985360549451","5.3741294505495","base.fr"
140,"__cities_.fr.01150-01250-00140","__areas__.fr.001-001",1,1150,1250,"Drom","46.223626826923","5.3699690384615","base.fr"
141,"__cities_.fr.01151-01160-00141","__areas__.fr.001-001",1,1151,1160,"Druillat","46.068407205882","5.2952876470588","base.fr"
142,"__cities_.fr.01152-01130-00142","__areas__.fr.001-001",1,1152,1130,"Échallon","46.223541649485","5.7368471134021","base.fr"
143,"__cities_.fr.01153-01170-00143","__areas__.fr.001-001",1,1153,1170,"Échenevex","46.315665100671","6.0226862416107","base.fr"
144,"__cities_.fr.01154-01340-00144","__areas__.fr.001-001",1,1154,1340,"Étrez","46.341437405063","5.1962487341772","base.fr"
145,"__cities_.fr.01155-01230-00145","__areas__.fr.001-001",1,1155,1230,"Évosges","45.957167126437","5.4972251724138","base.fr"
